,year,company_name,number_of_single_use_plastic_bags_issued,gross_proceeds_of_charge,vat,costs_deducted,cost_of_changing_till_systems,cost_of_staff_communications,cost_of_customer_communications,cost_of_obtaining_advice_on_charge,cost_of_administering_donations,other_costs_associated_with_implementing_charge,net_proceeds,amount_donated_to_good_causes,number_of_paper_bags_issued,number_of_bags_for_life_issued,number_of_fabric_bags_issued,number_of_other_bags_issued,difference_between_donations_and_proceeds,charity/voluntary,local_causes,health,arts_heritage,sports,education,environment,unknown
937,2020-21,BMB CLOTHING LIMITED,30406,1520.3,253.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1266.92,,,,,,,0,0,0,0,0,0,0,1
938,2020-21,BOUX AVENUE LIMITED,20615,1030.75,171.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.96,,,,,,,0,0,0,0,0,0,0,1
939,2020-21,BRADFORDS BUILDING SUPPLIES LTD,265,13.25,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.04,,,,,,,0,0,0,0,0,0,0,1
940,2020-21,BRITANNIA JINKY JERSEY LTD,19061,953.05,158.84,794.21,0.0,794.21,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0,0,0,0,0,0,1
941,2020-21,BRYANSTON CONFERENCE CENTRE LIMITED,22,1.1,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9200000000000002,,,,,,,0,0,0,0,0,0,0,1
942,2020-21,C AND J CLARKS INTERNATIONAL LIMITED,794185,39709.25,6618.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33091.04,,,,,,,0,0,0,0,0,0,0,1
943,2020-21,C BREWER & SONS LTD,7106,355.3,59.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.08000000000004,296.08,,,,,-5.684341886080802e-14,0,0,0,0,0,0,1,0
944,2020-21,CANCER RESEARCH UK,389755,19487.75,3247.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16239.79,,,,,,,0,0,0,0,0,0,0,1
945,2020-21,CARDZONE LTD,130020,6501.0,1083.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5417.5,,,,,,,0,0,0,0,0,0,0,1
946,2020-21,CAVAGHAN & GRAY LTD,4572,228.6,38.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.5,190.52,,,,,0.020000000000010232,1,0,0,0,0,0,0,0
947,2020-21,CDS SUPERSTORES INTERNATIONAL LTD T/A THE RANGE,2630352,131517.6,21919.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109598.0,,,,,,,0,0,0,0,0,0,0,1
948,2020-21,CENTRAL ENGLAND CO-OPERATIVE SOCIETY,159777,7988.85,1331.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6657.370000000001,,,,,548884.0,,0,0,0,0,0,0,0,1
949,2020-21,CHANEL UK LTD,164,164.0,27.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.67000000000002,,,,,,,0,0,0,0,0,0,0,1
950,2020-21,CHELMSFORD STAR CO-OPERATIVE SOCIETY LTD,180316,9015.8,1502.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7513.169999999999,,,,,,,0,0,0,0,0,0,0,1
951,2020-21,CHOICE DISCOUNT STORES LIMITED,19578,978.9,163.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,815.75,,,,,,,0,0,0,0,0,0,0,1
952,2020-21,CHOICE SUPPORT,100,10.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,,,,,,,0,0,0,0,0,0,0,1
953,2020-21,CITY PLUMBING SUPPLIES HOLDINGS LIMITED,3734,186.7,31.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.57999999999998,155.58,,,,,2.842170943040401e-14,1,0,0,0,0,0,0,0
954,2020-21,COMPANY SHOP LTD,623423,31171.15,5195.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25975.960000000003,12748.25,,,,623423.0,-13227.710000000003,1,0,0,0,0,0,0,0
955,2020-21,COMPASS GROUP UK AND IRELAND LIMITED,420,40.85,6.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.04,,,,,,,0,0,0,0,0,0,0,1
956,2020-21,COOK TRADING LTD,399040,19952.0,3325.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16626.67,16627.0,,,,,0.33000000000174623,1,0,0,0,0,0,0,0
957,2020-21,COOPLAND AND SON (SCARBOROUGH) LTD,1199236,59961.8,9993.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49968.170000000006,32000.0,,,,,-17968.170000000006,1,1,0,0,0,0,0,0
958,2020-21,D J SQUIRE & CO LTD,36658,1871.0,311.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1559.17,1559.17,,,,,0.0,1,0,0,0,0,0,0,0
959,2020-21,DEICHMANN SHOES UK LTD,786876,39343.8,6557.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32786.5,,,,,,,0,0,0,0,0,0,0,1
960,2020-21,DIRECT WINES LIMITED,1992,199.2,33.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,166.0,,,,,0.0,1,0,0,0,0,0,0,0
961,2020-21,DUNELM (SOFT FURNISHINGS) LTD,834118,145178.7,24196.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120982.25000000001,,,,,,,0,0,0,0,0,0,0,1
962,2020-21,DURHAM COUNTY COUNCIL,115,5.75,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79,,,,,,,0,0,0,0,0,0,0,1
963,2020-21,EBOR FOODMARKETS LIMITED,324113,16205.65,2700.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13504.71,,,,,,,0,0,0,0,0,0,0,1
964,2020-21,EDMUNDSON ELECTRICAL LTD,647,32.35,5.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.96,250.0,,,,,223.04,0,0,0,0,0,0,1,0
965,2020-21,ELIM FOURSQAURE GOSPEL ALLIANCE,27,1.35,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,,,,,,,0,0,0,0,0,0,0,1
966,2020-21,ELIOR UK,10773,538.65,89.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.87,448.88,,,,,0.009999999999990905,0,0,1,0,0,0,0,0
967,2020-21,ESTEE LAUDER COSMETICS LIMITED,3730,186.5,31.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.42000000000002,,,,,,,0,0,0,0,0,0,0,1
968,2020-21,F HINDS LTD,22643,1132.15,188.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,943.46,,,,,,,0,0,0,0,0,0,0,1
969,2020-21,FARMFOODS LIMITED,9166023,556647.75,92774.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463873.12,,,,,,,0,0,0,0,0,0,0,1
970,2020-21,FROZEN VALUE LTD,14496,724.8,120.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,,,,,,,0,0,0,0,0,0,0,1
971,2020-21,GRAFTON MERCHANTING GB LTD,980,49.0,8.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.83,,,,,,,0,0,0,0,0,0,0,1
972,2020-21,GREGGS PLC,38411,1920.55,320.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.46,,,,,,,0,0,0,0,0,0,0,1
973,2020-21,H.I. WELDRICK LTD.,8715,439.5,73.25,150.0,0.0,0.0,0.0,0.0,0.0,150.0,216.25,,,,,,,0,0,0,0,0,0,0,1
974,2020-21,HALFORDS GROUP PLC,117761,5888.05,981.34,260.97,0.0,0.0,0.0,0.0,0.0,260.97,4645.74,,,,,,,0,0,0,0,0,0,0,1
975,2020-21,HAMLEYS OF LONDON LIMITED,96234,6433.75,1072.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5361.46,,,,,,,0,0,0,0,0,0,0,1
976,2020-21,HASKINS GARDEN CENTRES LTD,27668,1383.4,230.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152.8300000000002,,,,,,,0,0,0,0,0,0,0,1
